arch_id;clim_id;era_median;era_avg;tot_buildings;energy_specific;constr_period;build_type;area_typology;canton;hvac_system;arch_entry_org_id;hvac_system_org;dhw_decentral;dhw_daily_energy;dhw_storage_decentral;dhw_power_decentral;p_therm_heating;enable_borehole;ht_temp_level;enable_gas;enable_district_heat;p_dhw_cent;p_therm_tot;sys_enable_dh;sys_enable_hpaw;sys_enable_hpbw;sys_enable_wood;sys_enable_electro;sys_enable_gas;sys_enable_oil;n_dhw_cent;roof_era;era_roof_new;arch_entry_id
5017;4719;230;230;1;83;2000;SFH;Suburban;BE;HPBW;1278054;HP;0;8.821917808;0;0;10.23977884;1;0;0;0;0.46;10.69977884;0;1;1;1;0;0;0;1.642857143;64.4;84.7;1278054
1729;11549;184;184;1;152;1950;SFH;Rural;SO;Electro;1107180;Electro;1;7.057534247;10.58630137;1.764383562;16.7297815;0;0;0;0;0;16.7297815;0;1;0;1;0;0;0;1.314285714;36.8;75.6;1107180
1223;1531;121;133.2898551;10;126;1945;SFH;Suburban;SO;Gas;1084874;Gas;1;5.112487592;7.668731388;1.278121898;9.38590262;1;1;1;1;0;9.38590262;1;1;1;1;0;1;0;0.952070393;66.64492754;46.02739726;1084874
5035;7594;207;204;12;79;2000;SFH;Suburban;FR;HPAW;1279111;HP;1;7.824657534;11.7369863;1.956164384;7.656839956;1;0;1;1;0;7.656839956;1;1;1;1;0;1;0;1.457142857;57.12;73.85;1279111
2713;2935;1336;1336;1;88;1970;MFH;Rural;VD;Oil;1156229;Oil;0;76.86575342;0;0;68.54042452;0;0;0;0;4.008;72.54842452;0;1;0;1;0;0;1;9.542857143;668;656.6;1156229
4982;3222;179;182.6333333;1;79;2000;SFH;Rural;VD;Gas;1274738;Gas;1;7.005114155;10.50767123;1.751278539;8.288858916;0;0;1;0;0;8.288858916;0;1;0;1;0;1;0;1.30452381;51.13733333;74.15333331;1274738
4117;1521;579;640.75;4;74;1990;MFH;Suburban;SO;Oil;1230147;Oil;0;36.86506849;0;0;25.75674638;0;1;0;0;1.92225;27.67899638;0;1;0;1;0;0;1;4.576785714;320.375;185.5;1230147
4058;7606;367;367;1;62;1990;MFH;Suburban;BL;Oil;1228993;Oil;0;21.11506849;0;0;12.07529596;0;0;0;0;1.101;13.17629596;0;1;0;1;0;0;1;2.621428571;183.5;201.6;1228993
5106;9773;169;169;1;67;2000;SFH;Suburban;TI;Oil;1282703;Oil;0;6.482191781;0;0;6.196161207;0;0;0;0;0.338;6.534161207;0;1;0;1;0;0;1;1.207142857;47.32;53.2;1282703
4155;403;1171;1171;2;71;1990;MFH;Suburban;ZH;DH;1231354;DH;0;67.37260274;0;0;48.90448514;0;0;0;1;3.513;52.41748514;1;0;0;0;0;0;0;8.364285714;585.5;197.4;1231354
5524;1686;255.5;255.5;2;55;2010;SFH;Rural;BL;Wood;1294820;Wood;0;9.8;0;0;7.321938784;0;0;0;0;0.511;7.832938784;0;1;0;1;0;0;0;1.825;71.54;65.8;1294820
5494;4207;1821.5;2273.75;8;38;2010;MFH;Urban;ZH;Gas;1292871;Gas;0;130.8184932;0;0;46.30633274;1;0;1;1;6.82125;53.12758274;1;1;1;1;0;1;0;16.24107143;636.65;1191.4875;1292871
1902;401;414;414;1;130;1950;SFH;Suburban;ZH;Electro;1119862;Electro;1;15.87945205;23.81917808;3.969863014;33.88455515;0;0;0;0;0;33.88455515;0;1;0;1;0;0;0;2.957142857;82.8;126;1119862
467;15077;241;203.6;5;125;1920;SFH;Rural;VD;Oil;1038240;Oil;0;7.809315068;0;0;17.41083369;1;1;0;1;0.4072;17.81803369;1;1;1;1;0;0;1;1.454285714;28.504;141.82;1038240
373;12090;183.5;197.1666667;6;143;1920;SFH;Rural;FR;Oil;1025186;Oil;0;7.562557078;0;0;16.10885912;1;1;0;1;0.394333333;16.50319246;1;1;1;1;0;0;1;1.408333333;27.60333333;52.20833333;1025186
3515;4475;496;496;1;91;1980;MFH;Urban;BE;Gas;1195183;Gas;0;28.5369863;0;0;24.56059448;0;0;1;0;1.488;26.04859448;0;1;0;1;0;1;0;3.542857143;124;105;1195183
4923;17541;230;230;1;92;2000;SFH;Rural;LU;Wood;1271347;Wood;0;8.821917808;0;0;11.3000098;0;0;0;0;0.46;11.7600098;0;1;0;1;0;0;0;1.642857143;64.4;283.5;1271347
1661;5270;172;194.9230769;13;144;1950;SFH;Rural;BE;Oil;1101288;Oil;1;7.476501581;11.21475237;1.869125395;14.85248866;1;1;0;1;0;14.85248866;1;1;1;1;0;0;1;1.392307692;38.98461538;89.06153844;1101288
5755;17;176;197.575;10;53;2010;SFH;Suburban;ZH;HPBW;1303493;HP;0;7.578219178;0;0;6.247272632;1;0;1;1;0.39515;6.642422632;1;1;1;1;0;1;0;1.41125;55.321;41.52166668;1316897
2291;5173;75;68.33333333;3;185;1960;SFH;Rural;BE;Oil;1133034;Oil;0;2.621004566;0;0;7.132274912;1;0;0;1;0.136666667;7.268941579;1;1;1;1;0;0;1;0.488095238;34.16666667;77;1133034
1774;7752;115;115;1;154;1950;SFH;Rural;ZH;Electro;1110917;Electro;1;4.410958904;6.616438356;1.102739726;11.16600492;0;0;0;0;0;11.16600492;0;1;0;1;0;0;0;0.821428571;23;35;1110917
1366;5847;110;110;1;94;1950;MFH;Rural;FR;Wood;1092897;Wood;1;6.328767123;9.493150685;1.582191781;5.852543017;0;0;0;0;0;5.852543017;0;1;0;1;0;0;0;0.785714286;34.1;77;1092897
47;4335;246;249;4;133;1920;MFH;Rural;GR;Electro;1003479;Electro;1;14.3260274;21.4890411;3.581506849;18.57326667;1;1;0;1;0;18.57326667;1;1;1;1;0;0;0;1.778571429;92.13;61.43958334;1003479
1223;1492;233;233;1;140;1945;SFH;Suburban;SO;Gas;1084861;Gas;0;8.936986301;0;0;16.65251656;0;0;1;0;0.466;17.11851656;0;1;0;1;0;1;0;1.664285714;116.5;56;1084861
76;7511;120;120;1;109;1920;MFH;Rural;OW;Wood;1004939;Wood;0;6.904109589;0;0;7.803884313;0;0;0;0;0.36;8.163884313;0;1;0;1;0;0;0;0.857142857;44.4;65.1;1004939
3035;8466;393;393;1;139;1970;SFH;Rural;VD;Oil;1173736;Oil;0;15.0739726;0;0;36.37337822;0;0;0;0;0.786;37.15937822;0;1;0;1;0;0;1;2.807142857;196.5;79.1;1173736
3603;9386;248;248.5714286;7;127;1980;SFH;Rural;FR;Oil;1201551;Oil;0;9.534246575;0;0;17.53254616;1;1;0;1;0.497142857;18.02968901;1;1;1;1;0;0;1;1.775510204;62.14285714;74.45000003;1201551
5008;1858;345;345;1;89;2000;SFH;Suburban;AR;DH;1277739;DH;0;13.23287671;0;0;16.2720607;0;0;0;1;0.69;16.9620607;1;0;0;0;0;0;0;2.464285714;96.6;70;1277739
615;9978;166;166;1;131;1920;SFH;Suburban;ZH;Oil;1053713;Oil;0;6.367123288;0;0;13.79122643;0;0;0;0;0.332;14.12322643;0;1;0;1;0;0;1;1.185714286;23.24;50.4;1053713
